TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
1,7140,3,2,0,0,11.0,0,90,9,0,1,3,3.0,4722.0,5462.0,8.0,2,1,2.0,2.0,0.8644999999999999,0.1667,2,2,4,0.25,3,3,1.0
1,7163,4,2,1,3,3.0,2,221,3,1,1,1,3.0,6918.0,10212.0,9.0,5,2,1.0,2.0,0.6773999999999999,0.3333,0,2,5,0.19999999999999998,3,2,0.3333
1,7226,1,1,0,2,1.0,4,206,21,0,0,1,1.0,0.0,0.0,7.0,1,0,,,0.0,0.25,0,0,3,0.125,1,0,1.0
1,7251,1,1,0,4,1.0,5,152,11,0,1,1,3.0,9584.0,10778.0,2.0,2,0,2.0,2.0,0.8892,0.25,2,1,2,0.75,1,2,0.3333
1,7427,0,0,0,1,6.0,4,102,25,0,0,0,14.0,34506.0,37617.0,17.0,3,2,9.0,11.0,0.9172999999999999,0.43479999999999996,3,4,4,0.6086999999999999,4,4,0.0
1,7664,0,0,0,3,0.0,1,90,16,0,0,2,3.0,1457.0,1501.0,3.0,2,0,1.0,3.0,0.9706999999999999,0.4286,0,0,2,0.4286,0,0,0.6667
1,7669,0,0,0,5,1.0,3,216,8,0,2,2,19.0,72107.0,82531.0,30.0,0,0,11.0,12.0,0.8736999999999999,0.7333,0,0,0,0.6333,0,0,0.10529999999999999
1,7968,2,1,1,0,8.0,2,156,6,0,1,1,3.0,176.0,176.0,2.0,2,1,2.0,2.0,1.0,0.0,3,1,3,0.4286,2,1,0.3333
1,8250,0,0,0,1,3.0,6,165,27,0,0,0,8.0,22310.0,27277.0,2.0,10,8,4.0,5.0,0.8179,0.07139999999999999,2,9,11,0.5713999999999999,9,10,0.0
1,8256,1,1,0,2,1.0,1,138,6,0,1,5,10.0,16770.0,17258.0,18.0,0,0,7.0,8.0,0.9716999999999999,0.38889999999999997,3,0,2,0.5556,1,1,0.5
1,8848,8,5,1,4,2.0,7,139,7,0,2,3,5.0,1181.0,1138.0,0.0,11,5,3.0,3.0,1.0377999999999998,0.0,2,5,11,0.3571,10,6,0.6
1,8964,0,0,0,7,0.0,9,51,2,3,6,10,12.0,29292.0,46703.0,14.0,1,1,6.0,9.0,0.6272,0.6470999999999999,1,1,1,0.7059,1,1,0.8332999999999999
1,9273,2,2,0,0,17.0,0,414,46,0,0,0,1.0,3548.0,3000.0,10.0,1,0,1.0,1.0,1.1826999999999999,0.0909,0,1,3,0.0909,2,1,0.0
1,9299,1,1,0,7,0.0,2,105,27,0,0,0,3.0,22537.0,35577.0,10.0,2,1,1.0,2.0,0.6335,0.46149999999999997,0,1,4,0.23079999999999998,2,1,0.0
1,9307,1,1,0,2,2.0,3,126,1,2,3,9,6.0,27313.0,29786.0,10.0,0,0,4.0,4.0,0.9169999999999999,0.2941,3,0,1,0.3529,0,1,1.5
1,9508,1,0,1,5,1.0,13,236,9,0,3,8,12.0,45337.0,62466.0,22.0,16,2,4.0,5.0,0.7257999999999999,0.359,0,2,16,0.3077,2,2,0.6667
1,9572,0,0,0,0,,0,96,3,1,1,1,4.0,20068.0,27461.0,17.0,1,0,2.0,2.0,0.7307999999999999,0.31579999999999997,0,1,1,0.2105,1,1,0.25
1,9977,1,1,0,1,1.0,2,54,2,1,2,2,4.0,9251.0,9668.0,1.0,3,1,4.0,4.0,0.9569,0.0,0,3,3,0.7999999999999999,3,3,0.5
1,10444,0,0,0,13,2.0,21,71,3,1,8,15,16.0,44095.0,50191.0,36.0,3,0,12.0,14.0,0.8785,0.5348999999999999,3,1,4,0.3721,1,4,0.9375
1,10540,0,0,0,3,4.0,2,118,6,0,5,8,5.0,5576.0,11473.0,10.0,0,0,3.0,3.0,0.486,0.5333,2,0,1,0.3333,0,1,1.5999999999999999
1,10632,0,0,0,0,8.0,0,107,5,0,2,4,4.0,12546.0,24224.0,7.0,0,0,2.0,2.0,0.5178999999999999,0.1818,3,0,2,0.3636,0,2,1.0
1,10681,3,3,0,4,1.0,3,142,11,0,1,1,5.0,28966.0,42212.0,7.0,9,7,2.0,3.0,0.6861999999999999,0.1875,0,7,9,0.3125,9,7,0.19999999999999998
1,10775,0,0,0,4,0.0,7,160,3,1,7,12,11.0,19163.0,22263.0,20.0,0,0,6.0,6.0,0.8607999999999999,0.4643,3,0,4,0.39289999999999997,0,1,1.0909
1,11105,1,0,0,1,5.0,0,90,17,0,0,1,2.0,5835.0,7488.0,2.0,0,0,1.0,1.0,0.7791999999999999,0.0,0,1,1,1.0,2,1,0.5
1,11338,2,2,0,0,,0,117,37,0,0,0,2.0,729.0,1788.0,4.0,1,0,0.0,0.0,0.40769999999999995,0.5,0,1,2,0.3333,3,1,0.0
1,11451,0,0,0,1,3.0,0,161,16,0,0,7,11.0,11565.0,22899.0,21.0,2,2,3.0,6.0,0.5049999999999999,0.4231,0,2,3,0.4231,2,2,0.6364
1,11954,0,0,0,0,,0,7,7,0,1,1,1.0,,,0.0,1,0,,,,0.0,2,0,1,1.0,0,1,1.0
1,12175,2,2,0,2,2.0,2,102,10,0,1,3,4.0,8486.0,6876.0,3.0,7,5,3.0,3.0,1.2341,0.19999999999999998,0,5,7,0.39999999999999997,7,5,0.75
1,12240,1,1,0,16,1.0,15,246,16,0,0,4,12.0,49275.0,61570.0,16.0,1,0,5.0,7.0,0.8002999999999999,0.6667,0,2,2,0.6667,2,2,0.3333
1,12558,8,8,0,7,3.0,27,35,4,0,6,14,4.0,15358.0,15641.0,12.0,1,1,3.0,3.0,0.9819,0.7059,0,1,1,0.23529999999999998,5,1,3.5
1,12787,1,1,0,8,1.0,6,113,4,0,6,8,8.0,61954.0,70652.0,15.0,0,0,8.0,8.0,0.8768999999999999,0.38889999999999997,3,1,5,0.44439999999999996,2,2,1.0
1,12986,0,0,0,0,12.0,1,181,12,0,1,7,11.0,9428.0,30070.0,13.0,0,0,6.0,7.0,0.31349999999999995,0.7857,0,0,1,0.7857,0,0,0.6364
1,13425,0,0,0,6,1.0,6,258,6,0,2,5,7.0,4937.0,12345.0,8.0,0,0,4.0,4.0,0.3999,0.5455,3,0,0,0.6364,0,0,0.7142999999999999
1,13753,0,0,0,9,1.0,30,112,15,0,0,5,8.0,10783.0,12757.0,16.0,2,2,5.0,7.0,0.8452999999999999,0.41669999999999996,0,2,2,0.3333,2,2,0.625
1,13899,8,4,1,0,9.0,5,126,4,0,2,5,4.0,1322.0,1406.0,7.0,4,1,3.0,3.0,0.9402999999999999,0.41669999999999996,0,1,5,0.3333,5,1,1.25
1,13970,2,2,0,3,1.0,5,220,14,0,0,4,4.0,14451.0,19365.0,6.0,2,2,2.0,3.0,0.7462,0.375,2,2,4,0.5,3,3,1.0
1,14072,3,1,1,10,0.0,18,102,16,0,0,5,6.0,42153.0,59710.0,8.0,2,0,1.0,4.0,0.706,0.28569999999999995,3,1,3,0.4286,2,2,0.8332999999999999
1,14408,0,0,0,5,0.0,13,119,2,1,8,13,14.0,18449.0,23295.0,18.0,2,0,9.0,12.0,0.7919999999999999,0.6521999999999999,0,1,3,0.6086999999999999,1,1,0.9286
1,14449,0,0,0,0,7.0,0,61,29,0,0,0,2.0,4254.0,3190.0,1.0,4,2,2.0,2.0,1.3335,0.19999999999999998,0,2,3,0.39999999999999997,2,2,0.0
1,14591,5,4,1,3,1.0,4,410,8,0,3,6,3.0,3687.0,4174.0,9.0,2,1,3.0,3.0,0.8833,0.46149999999999997,0,1,3,0.23079999999999998,1,1,2.0
1,14656,5,1,0,5,3.0,8,168,4,0,5,5,7.0,18265.0,31927.0,9.0,7,4,3.0,3.0,0.5720999999999999,0.2778,3,5,10,0.38889999999999997,7,7,0.7142999999999999
1,15376,1,0,1,7,1.0,13,159,4,0,2,2,5.0,15607.0,16688.0,6.0,4,3,3.0,5.0,0.9351999999999999,0.3077,0,3,6,0.3846,3,3,0.39999999999999997
1,15377,6,0,1,4,1.0,5,87,10,0,2,2,1.0,2500.0,2500.0,1.0,6,1,1.0,1.0,1.0,0.11109999999999999,0,1,7,0.11109999999999999,2,1,2.0
1,15567,0,0,0,3,1.0,5,145,15,0,0,1,4.0,9182.0,10248.0,12.0,0,0,3.0,4.0,0.8959999999999999,0.3333,3,0,2,0.2667,0,2,0.25
1,16145,2,2,0,7,1.0,6,116,25,0,0,0,2.0,6447.0,15874.0,7.0,2,1,0.0,1.0,0.40609999999999996,0.0909,2,1,3,0.1818,2,2,0.0
1,16361,0,0,0,1,2.0,3,123,8,0,2,6,10.0,24309.0,31071.0,15.0,0,0,6.0,7.0,0.7824,0.4375,3,0,0,0.625,0,0,0.6
1,16582,2,2,0,8,0.0,4,132,9,0,1,2,11.0,38158.0,78090.0,18.0,3,3,6.0,6.0,0.4886,0.3846,3,4,7,0.4231,5,5,0.1818
1,16809,0,0,0,5,2.0,2,213,3,1,4,6,20.0,65957.0,77972.0,30.0,0,0,13.0,15.0,0.8459,0.6875,0,0,0,0.625,0,0,0.3
1,17485,2,1,0,2,0.0,5,176,14,0,0,2,2.0,509.0,509.0,1.0,3,1,1.0,1.0,1.0,0.0,2,2,4,0.39999999999999997,2,3,1.0
1,17510,0,0,0,7,1.0,14,107,2,1,3,9,15.0,36306.0,52120.0,29.0,5,4,6.0,10.0,0.6966,0.27499999999999997,3,7,7,0.375,7,7,0.6
1,18318,12,11,0,6,1.0,9,112,24,0,0,1,8.0,7467.0,10160.0,13.0,12,7,5.0,6.0,0.7349,0.12,0,9,14,0.31999999999999995,19,9,0.125
1,18671,3,2,0,1,0.0,5,101,6,0,3,7,11.0,16618.0,18277.0,27.0,3,1,5.0,5.0,0.9091999999999999,0.45449999999999996,3,1,5,0.3333,1,5,0.6364
1,18822,0,0,0,10,1.0,12,202,2,1,4,5,7.0,3713.0,8255.0,13.0,1,1,3.0,3.0,0.4498,0.1875,3,2,5,0.4375,2,3,0.7142999999999999
1,19472,6,5,0,11,0.0,26,174,2,1,4,8,7.0,12083.0,13360.0,23.0,4,1,5.0,5.0,0.9044,0.21209999999999998,1,2,4,0.21209999999999998,5,2,1.1428999999999998
1,19597,2,1,1,0,20.0,1,130,93,0,0,0,3.0,9246.0,9246.0,5.0,8,1,2.0,2.0,1.0,0.0769,0,2,9,0.23079999999999998,3,2,0.0
1,19662,1,0,1,4,0.0,2,216,8,0,2,9,12.0,32320.0,47288.0,21.0,15,3,6.0,7.0,0.6835,0.3171,0,3,16,0.29269999999999996,3,3,0.75
1,20212,1,0,1,5,0.0,4,125,2,1,2,6,6.0,18299.0,25671.0,10.0,0,0,4.0,5.0,0.7128,0.45449999999999996,3,0,0,0.5455,0,0,1.0
1,20459,5,1,1,1,1.0,3,325,9,0,1,2,10.0,9970.0,10991.0,14.0,17,2,6.0,6.0,0.9070999999999999,0.3226,0,3,17,0.3226,3,3,0.19999999999999998
1,20665,0,0,0,1,2.0,1,99,23,0,0,1,5.0,5659.0,11930.0,7.0,1,1,1.0,1.0,0.4744,0.3,0,2,2,0.5,2,2,0.19999999999999998
1,21035,1,1,0,2,0.0,3,275,13,0,0,2,8.0,5796.0,8541.0,15.0,9,4,3.0,4.0,0.6786,0.36,2,4,14,0.31999999999999995,5,5,0.25
1,21586,0,0,0,2,1.0,2,139,10,0,3,8,16.0,12204.0,14562.0,30.0,0,0,9.0,11.0,0.8381,0.6061,3,0,3,0.48479999999999995,0,2,0.5
1,21847,0,0,1,0,7.0,5,29,6,0,5,9,11.0,40892.0,45188.0,14.0,1,0,9.0,9.0,0.9048999999999999,0.7999999999999999,1,0,1,0.7333,0,0,0.8181999999999999
1,21939,0,0,0,9,1.0,4,108,3,1,1,1,3.0,7938.0,9706.0,4.0,2,2,1.0,1.0,0.8178,0.1429,0,2,2,0.4286,2,2,0.3333
1,21947,7,6,0,2,0.0,9,121,8,0,5,9,5.0,36973.0,40206.0,9.0,2,2,5.0,5.0,0.9196,0.5,2,2,3,0.41669999999999996,5,3,1.7999999999999998
1,22221,0,0,0,1,5.0,1,189,13,0,0,2,10.0,1306.0,10491.0,20.0,1,0,2.0,2.0,0.1245,0.5713999999999999,2,0,1,0.47619999999999996,0,1,0.19999999999999998
1,22522,8,3,0,3,2.0,1,240,4,0,2,2,6.0,7625.0,11553.0,5.0,4,2,0.0,2.0,0.6599999999999999,0.2727,0,5,6,0.5455,12,5,0.3333
1,23082,0,0,0,1,2.0,0,42,5,0,3,3,5.0,7341.0,8866.0,5.0,0,0,3.0,4.0,0.828,1.0,0,0,0,1.0,0,0,0.6
1,24690,0,0,0,4,1.0,0,153,13,0,0,3,12.0,47040.0,58953.0,22.0,0,0,4.0,9.0,0.7978999999999999,0.1667,3,0,4,0.5,0,3,0.25
1,24859,4,4,0,5,1.0,10,221,8,0,1,4,7.0,31445.0,40749.0,10.0,0,0,2.0,4.0,0.7716999999999999,0.41669999999999996,3,0,2,0.5832999999999999,1,0,0.5713999999999999
1,25097,0,0,0,5,0.0,5,197,5,0,2,4,6.0,882.0,5289.0,13.0,3,3,2.0,2.0,0.16679999999999998,0.4375,2,4,6,0.375,4,5,0.6667
1,25177,1,0,0,3,0.0,4,153,4,0,1,4,6.0,51251.0,62609.0,10.0,2,1,5.0,6.0,0.8186,0.46149999999999997,1,2,4,0.46149999999999997,3,2,0.6667
1,25504,2,0,0,1,1.0,9,115,10,0,1,3,3.0,8702.0,11145.0,5.0,2,1,2.0,2.0,0.7807999999999999,0.125,1,1,4,0.375,1,1,1.0
1,25579,4,4,0,3,2.0,13,150,5,0,2,4,5.0,2001.0,2543.0,26.0,2,1,4.0,4.0,0.7868999999999999,0.10339999999999999,3,1,4,0.1724,4,3,0.7999999999999999
1,25608,3,2,1,4,1.0,7,128,17,0,0,1,3.0,8286.0,11150.0,3.0,4,1,1.0,2.0,0.7431,0.11109999999999999,0,1,4,0.3333,3,1,0.3333
1,26587,2,2,0,3,3.0,10,101,6,0,5,14,5.0,44615.0,47226.0,20.0,2,1,5.0,5.0,0.9447,0.3448,2,1,2,0.1724,2,2,2.8
1,26675,0,0,0,4,0.0,3,127,7,0,4,11,26.0,63184.0,86143.0,33.0,0,0,7.0,11.0,0.7334999999999999,0.36169999999999997,3,0,1,0.5531999999999999,0,1,0.4231
1,26689,3,0,1,5,0.0,6,146,5,0,1,3,5.0,7244.0,12822.0,6.0,6,1,1.0,4.0,0.565,0.3077,1,1,6,0.3846,1,1,0.6
1,26768,3,2,0,4,1.0,12,115,10,0,1,2,3.0,881.0,1156.0,4.0,2,0,1.0,2.0,0.7621,0.3333,2,0,2,0.5,1,1,0.6667
1,26817,3,3,0,8,1.0,6,158,6,0,3,10,19.0,30976.0,57824.0,31.0,1,1,5.0,10.0,0.5357,0.6563,0,3,4,0.5938,4,3,0.5263
1,27999,1,1,0,8,0.0,3,39,2,1,5,8,10.0,15321.0,20966.0,9.0,1,0,2.0,3.0,0.7307999999999999,0.75,2,0,1,0.8332999999999999,1,1,0.7999999999999999
1,28101,2,1,0,0,8.0,3,39,12,0,1,1,1.0,18526.0,20911.0,1.0,1,1,1.0,1.0,0.8858999999999999,0.0,0,1,1,0.5,3,1,1.0
1,28196,0,0,0,0,12.0,0,552,4,0,2,5,5.0,26437.0,30927.0,18.0,1,0,5.0,5.0,0.8547999999999999,0.39999999999999997,2,0,1,0.25,0,1,1.0
1,28383,3,3,0,8,0.0,8,153,9,0,1,2,4.0,23936.0,26959.0,12.0,1,0,3.0,3.0,0.8878999999999999,0.5333,1,0,1,0.2667,3,0,0.5
1,28471,3,3,0,3,2.0,7,109,4,0,2,3,5.0,29315.0,35760.0,9.0,2,1,2.0,3.0,0.8198,0.2727,3,1,1,0.45449999999999996,3,1,0.6
1,28643,1,1,0,0,10.0,4,21,2,1,4,6,4.0,14435.0,15787.0,5.0,0,0,3.0,3.0,0.9144,0.8332999999999999,0,0,0,0.6667,0,0,1.5
1,28734,0,0,0,1,1.0,4,215,7,0,2,4,15.0,42898.0,47670.0,21.0,0,0,14.0,14.0,0.8998999999999999,0.9047999999999999,0,0,0,0.7142999999999999,0,0,0.2667
1,28857,3,1,0,1,3.0,6,125,11,0,1,1,2.0,0.0,208.0,1.0,4,1,0.0,0.0,0.0,0.19999999999999998,0,1,4,0.39999999999999997,4,1,0.5
1,28989,3,0,1,1,5.0,0,122,32,0,0,0,2.0,7862.0,15922.0,4.0,7,1,0.0,0.0,0.49379999999999996,0.1538,0,1,8,0.1538,1,1,0.0
1,29514,2,3,0,7,1.0,0,91,8,0,5,6,4.0,17794.0,29352.0,8.0,2,0,0.0,2.0,0.6062,0.2727,3,0,3,0.3636,1,2,1.5
1,29917,6,5,1,7,1.0,10,96,4,0,7,11,8.0,9511.0,12501.0,15.0,13,1,6.0,7.0,0.7607999999999999,0.3871,0,1,13,0.2581,4,1,1.375
1,30380,0,0,0,3,1.0,3,109,3,1,1,1,7.0,3719.0,11528.0,8.0,3,2,1.0,2.0,0.3226,0.23079999999999998,2,4,6,0.5385,4,5,0.1429
1,30445,0,0,0,5,0.0,7,393,13,0,0,2,11.0,30920.0,52290.0,36.0,1,1,2.0,4.0,0.5912999999999999,0.44739999999999996,0,1,1,0.2895,1,1,0.1818
1,30532,0,0,0,3,0.0,3,107,13,0,0,5,14.0,58795.0,66406.0,28.0,0,0,10.0,11.0,0.8854,0.6206999999999999,0,0,0,0.48279999999999995,0,0,0.3571
1,30633,9,5,1,7,0.0,2,246,27,0,0,0,6.0,18250.0,23750.0,4.0,15,4,3.0,3.0,0.7684,0.0,3,5,19,0.24,8,7,0.0
1,30790,2,1,1,0,9.0,0,12,12,0,1,1,1.0,204.0,200.0,1.0,0,0,1.0,1.0,1.0199999999999998,1.0,0,0,0,1.0,1,0,1.0
1,30856,0,0,0,2,0.0,9,113,6,0,4,7,23.0,41382.0,67192.0,36.0,0,0,12.0,19.0,0.6158999999999999,0.6667,2,0,1,0.6388999999999999,0,1,0.30429999999999996
1,30917,0,0,0,9,1.0,6,282,5,0,4,6,18.0,35205.0,46981.0,33.0,3,1,6.0,9.0,0.7493,0.43899999999999995,3,5,8,0.43899999999999995,5,5,0.3333
1,31948,0,0,0,7,1.0,12,150,1,1,4,9,9.0,43478.0,53607.0,18.0,0,0,5.0,5.0,0.8110999999999999,0.5,3,1,4,0.40909999999999996,1,1,1.0
1,32553,0,0,0,0,,0,190,24,0,0,1,11.0,11966.0,16962.0,22.0,0,0,5.0,7.0,0.7054999999999999,0.5651999999999999,3,1,5,0.47829999999999995,1,5,0.0909
1,32615,0,0,0,9,1.0,12,270,13,0,0,2,9.0,28859.0,39039.0,13.0,1,0,2.0,4.0,0.7392,0.375,3,0,4,0.5625,0,2,0.22219999999999998
1,32691,0,0,0,0,,0,245,27,0,0,0,8.0,21620.0,25326.0,7.0,2,1,5.0,5.0,0.8536999999999999,0.3333,2,4,5,0.6667,4,5,0.0
1,33041,0,0,0,1,3.0,0,24,19,0,0,3,3.0,5725.0,5310.0,1.0,2,2,3.0,3.0,1.0781999999999998,0.3333,0,2,2,1.0,2,2,1.0
1,33096,0,0,0,2,2.0,3,72,17,0,0,2,5.0,31128.0,40006.0,4.0,1,1,3.0,4.0,0.7780999999999999,0.1667,2,1,2,0.8332999999999999,1,2,0.39999999999999997
1,33196,1,0,1,1,2.0,2,101,5,0,1,2,6.0,18018.0,29097.0,6.0,11,4,3.0,4.0,0.6192,0.2105,0,4,11,0.31579999999999997,4,4,0.3333
1,33359,3,2,1,5,3.0,5,107,16,0,0,1,2.0,167.0,167.0,2.0,3,1,1.0,1.0,1.0,0.3333,0,1,3,0.3333,3,1,0.5
1,33713,2,2,0,8,1.0,5,171,42,0,0,0,8.0,5960.0,11379.0,15.0,4,2,1.0,3.0,0.5237999999999999,0.15,3,2,8,0.39999999999999997,4,5,0.0
1,33828,0,0,0,4,1.0,7,176,4,0,7,17,26.0,62359.0,117515.0,40.0,0,0,9.0,9.0,0.5306,0.6521999999999999,2,0,1,0.5651999999999999,0,1,0.6537999999999999
1,33845,5,4,1,8,1.0,2,146,4,0,1,2,4.0,10416.0,14089.0,9.0,5,2,2.0,3.0,0.7393,0.375,0,2,7,0.25,3,2,0.5
1,34289,2,2,0,5,1.0,1,44,10,0,1,2,2.0,3584.0,3000.0,2.0,1,1,1.0,1.0,1.1946999999999999,0.3333,0,1,1,0.6667,1,1,1.0
1,34343,0,0,0,6,1.0,6,285,3,1,1,3,5.0,10913.0,20643.0,10.0,2,1,2.0,2.0,0.5287,0.19999999999999998,0,1,6,0.3333,1,1,0.6
1,34499,0,0,0,3,1.0,4,106,24,0,0,1,4.0,17270.0,37094.0,10.0,3,3,0.0,1.0,0.46559999999999996,0.28569999999999995,2,3,4,0.28569999999999995,3,4,0.25
1,35314,0,0,0,6,1.0,6,329,1,1,6,10,15.0,32974.0,33371.0,20.0,2,0,10.0,11.0,0.9881,0.5484,2,1,3,0.4839,1,2,0.6667
1,35365,2,1,0,2,2.0,5,252,11,0,1,1,10.0,18937.0,40676.0,7.0,7,3,2.0,5.0,0.46559999999999996,0.052599999999999994,3,7,14,0.5263,9,9,0.09999999999999999
1,35524,0,0,0,0,,0,134,11,0,1,5,8.0,27710.0,36667.0,15.0,6,1,4.0,7.0,0.7556999999999999,0.11539999999999999,3,4,11,0.3077,4,8,0.625
